Entidad,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,7,30,47,28,75,54,96,,
Baja California,19,46,64,74,40,43,60,,
Baja California Sur,4,6,3,2,3,6,,,
Campeche,5,3,5,1,1,3,,,
Coahuila ,31,114,101,73,73,93,95,,
Colima,2,13,12,8,15,20,,,
Chiapas,6,7,18,13,20,15,,,
Chihuahua,15,89,85,65,80,86,73,,
Ciudad de Mexico,321,998,1161,941,890,860,804,,
Durango,3,10,24,15,30,11,,,
Guanajuato,36,310,312,421,318,240,366,,
Guerrero,3,4,5,4,4,12,,,
Hidalgo,12,20,17,24,58,61,,,
Jalisco,70,397,470,427,410,546,483,,
Mexico,80,365,304,299,320,348,,,
Michoacan,6,26,22,25,35,37,,,
Morelos,22,46,50,58,63,59,59,,
Nayarit,1,3,3,4,1,10,,,
Nuevo leon,110,401,492,504,485,487,342,,
Oaxaca,7,24,4,9,7,16,,,
Puebla,43,112,125,117,150,169,161,,
Queretaro,47,87,83,106,105,108,126,,
Quintana Roo,3,10,18,12,15,23,,,
San Luis Potosi,6,54,36,40,67,27,,,
Sinaloa,14,44,62,48,59,42,,,
Sonora,12,64,52,38,90,40,,,
Tabasco,7,4,16,8,10,19,,,
Tamaulipas,11,64,45,100,68,50,62,,
Tlaxcala,5,22,10,9,9,30,,,
Veracruz,15,39,49,24,48,55,64,,
Yucatan,15,64,49,76,55,71,75,,
Zacatecas,2,9,27,29,60,30,,,
