Solicitudes  de invenciones de mexicanos por entidad federativa / Invention applications of Mexicans by state,,,,
ENTIDAD FEDERATIVA /STATE,Patentes /patents,diseños industriales/ industrial designs,modelos de utilidad / Utility models,Total
Aguascalientes,11,62,1,74
Baja California,18,14,9,41
Baja California Sur,4,0,1,5
Campeche,2,0,2,4
Coahuila,41,14,17,72
Colima,9,4,2,15
Chiapas,14,1,2,17
Chihuahua,25,33,22,80
Distrito Federal,337,424,129,890
Durango,5,5,8,18
Estado de México,90,149,80,319
Guanajuato,55,240,19,314
Guerrero,2,8,3,13
Hidalgo,30,20,5,55
Jalisco,115,220,75,410
Michoacán,13,9,2,24
Morelos,34,25,6,65
Nayarit,1,0,1,2
Nuevo León,141,252,89,482
Oaxaca,6,1,3,10
Puebla,75,48,9,132
Queretáro,46,40,12,98
Quintana Roo,7,4,5,16
San Luis Potosí,8,55,3,66
Sinaloa,17,28,13,58
Sonora,52,8,26,86
Tabasco,8,0,1,9
Tamaulipas,25,16,26,67
Tlaxcala,5,6,4,15
Veracruz,15,23,5,43
Yucatán,20,21,13,54
Zacatecas,4,38,18,60
Mexicanos que radican en el extranjero / Mexicans living overseas,9,1,1,11
Total,"1,244","1,769",612,"3,625"
"Nota: En 2014 deben agregarse 2 solicitudes de esquemas de trazado de circuito integrado: una en Puebla y otra en Querétaro. Note: In 2014, 2 integrated circuit design applications must be added: one from Puebla and one from Queretáro.",,,,
