Solicitudes  de invenciones de mexicanos por entidad federativa / Invention applications of Mexicans by state,,,,
,Enero-diciembre 2015/January-December 2015,,,
ENTIDAD FEDERATIVA /STATE,Patentes /patents,dise¤os industriales/ industrial designs,modelos de utilidad / Utility models,Total
Aguascalientes,15,31,7,53
Baja California,12,16,15,43
Baja California Sur,5,1,0,6
Campeche,1,1,1,3
Chiapas,8,2,5,15
Chihuahua,42,27,17,86
Coahuila,38,41,14,93
Colima,11,5,4,20
Distrito Federal,367,364,129,860
Durango,8,3,0,11
Estado de M‚xico,130,150,68,348
Guanajuato,55,166,19,240
Guerrero,3,8,1,12
Hidalgo,37,18,6,61
Jalisco,118,346,82,546
Michoac n,21,9,7,37
Morelos,41,10,8,59
Nayarit,3,5,2,10
Nuevo Le¢n,124,296,67,487
Oaxaca,10,5,1,16
Puebla,80,68,12,160
Queret ro,55,28,25,108
Quintana Roo,11,2,10,23
San Luis Potos¡,8,11,8,27
Sinaloa,28,12,2,42
Sonora,32,3,5,40
Tabasco,18,1,0,19
Tamaulipas,23,13,14,50
Tlaxcala,2,28,0,30
Veracruz,22,14,19,55
Yucat n,26,28,17,71
Zacatecas,5,15,10,30
Mexicanos que radican en el extranjero / Mexicans living overseas,5,2,2,9
Total,"1,364","1,729",577,"3,670"
"Nota: En 2015 deben agregarse 10 solicitudes de esquemas de trazado de circuito integrado: 9 en Puebla y otra en Aguascalientes Note: In 2015, 10 integrated circuit design applications must be added: 9 from Puebla and one from Aguascalientes",,,,
Enero-diciembre de 2016/January-December 2016,,,,
ENTIDAD FEDERATIVA /STATE,Patentes /patents,dise¤os industriales/ industrial designs,modelos de utilidad / Utility models,Total
Aguascalientes,21,75,,96
Baja California ,20,26,14,60
Baja California Sur,2,,2,4
Campeche,10,2,4,16
Ciudad de M‚xico,308,387,109,804
Chiapas,23,5,7,35
Chihuahua,42,15,16,73
Coahuila,49,26,20,95
Colima,11,1,9,21
Durango,9,3,12,24
Estado de M‚xico,94,150,61,305
Guanajuato,71,263,32,366
Guerrero,2,2,,4
Hidalgo,14,5,6,25
Jalisco,152,236,95,483
Michoac n,12,9,8,29
Morelos,36,14,9,59
Nayarit,1,7,1,9
Nuevo Le¢n,87,173,79,339
Oaxaca,15,1,2,18
Puebla,84,62,12,158
Quer‚taro,57,45,23,125
Quintana Roo,5,6,9,20
San Luis Potos¡,21,32,4,57
Sinaloa,27,21,5,53
Sonora,28,7,11,46
Tabasco,16,4,2,22
Tamaulipas,23,18,21,62
Tlaxcala,3,3,2,8
Veracruz,34,16,14,64
Yucat n,27,28,20,75
Zacatecas,3,8,3,14
Mexicanos que radican en el extranjero / Mexicans living overseas,3,1,,4
Total,"1,310","1,651",612,"3,573"
"Nota: En 2016 deben agregarse 8 solicitudes de esquemas de trazado de circuito integrado: 3 en Puebla, 1 en Quer‚taro, 1en Tabasco y 3 en Nuevo Le¢n. Note: In 2016, 8 integrated circuit design applications must be added: 3 from Puebla, 1 from Quer‚taro, 1 from Tabasco and 3 from Nuevo Le¢n.",,,,
