Entidad,Enero_diciembre_2015,Enero_diciembre_2015,Enero_diciembre_2015,Enero_diciembre_2015,Entidad,Enero_diciembre_de_2016,Enero_diciembre_de_2016,Enero_diciembre_de_2016,Enero_diciembre_de_2016,Entidad,Enero_diciembre_de_2017,Enero_diciembre_de_2017,Enero_diciembre_de_2017,Enero_diciembre_de_2017
ENTIDAD_FEDERATIVA,Patentes,disenos_industriales,modelos_de_utilidad,Total,ENTIDAD_FEDERATIVA,Patentes,disenos_industriales,modelos_de_utilidad,Total,ENTIDAD_FEDERATIVA,Patentes,disenos_industriales,modelos_de_utilidad,Total
Aguascalientes,15,31,7,53,Aguascalientes,21,75,,96,Aguascalientes,8,35,5,48
Baja_California,12,16,15,43,Baja_California,20,26,14,60,Baja_California,25,24,22,71
Baja_California Sur,5,1,0,6,Baja_California Sur,2,,2,4,Baja_California Sur,6,1,1,8
Campeche,1,1,1,3,Campeche,10,2,4,16,Campeche,3,0,12,15
Ciudad_de_Mexico,367,364,129,860,Ciudad_de_Mexico,308,387,109,804,Ciudad_de_Mexico,333,342,104,779
Chiapas,8,2,5,15,Chiapas,23,5,7,35,Chiapas,4,2,5,11
Chihuahua,42,27,17,86,Chihuahua,42,15,16,73,Chihuahua,32,15,15,62
Coahuila,38,41,14,93,Coahuila,49,26,20,95,Coahuila,51,36,25,112
Colima,11,5,4,20,Colima,11,1,9,21,Colima,5,0,0,5
Durango,8,3,0,11,Durango,9,3,12,24,Durango,6,2,2,10
Estado_de_Mexico,130,150,68,348,Estado_de_Mexico,94,150,61,305,Estado_de_Mexico,80,148,56,284
Guanajuato,55,166,19,240,Guanajuato,71,263,32,366,Guanajuato,78,305,28,411
Guerrero,3,8,1,12,Guerrero,2,2,,4,Guerrero,1,0,4,5
Hidalgo,37,18,6,61,Hidalgo,14,5,6,25,Hidalgo,29,14,6,49
Jalisco,118,346,82,546,Jalisco,152,236,95,483,Jalisco,194,294,74,562
Michoacan,21,9,7,37,Michoacan,12,9,8,29,Michoacan,11,21,9,41
Morelos,41,10,8,59,Morelos,36,14,9,59,Morelos,32,13,7,52
Nayarit,3,5,2,10,Nayarit,1,7,1,9,Nayarit,3,1,3,7
Nuevo Leon,124,296,67,487,Nuevo Leon,87,173,79,339,Nuevo Leon,78,210,50,338
Oaxaca,10,5,1,16,Oaxaca,15,1,2,18,Oaxaca,15,1,0,16
Puebla,80,68,12,160,Puebla,84,62,12,158,Puebla,90,38,14,144
Queretaro,55,28,25,108,Queretaro,57,45,23,125,Queretaro,62,50,15,127
Quintana_Roo,11,2,10,23,Quintana_Roo,5,6,9,20,Quintana_Roo,11,4,7,22
San_Luis_Potosi,8,11,8,27,San_Luis_Potosi,21,32,4,57,San_Luis_Potosi,9,3,1,13
Sinaloa,28,12,2,42,Sinaloa,27,21,5,53,Sinaloa,26,5,10,41
Sonora,32,3,5,40,Sonora,28,7,11,46,Sonora,41,16,7,64
Tabasco,18,1,0,19,Tabasco,16,4,2,22,Tabasco,16,1,4,21
Tamaulipas,23,13,14,50,Tamaulipas,23,18,21,62,Tamaulipas,26,10,21,57
Tlaxcala,2,28,0,30,Tlaxcala,3,3,2,8,Tlaxcala,3,3,5,11
Veracruz,22,14,19,55,Veracruz,34,16,14,64,Veracruz,20,11,11,42
Yucatan,26,28,17,71,Yucatan,27,28,20,75,Yucatan,24,22,14,61
Zacatecas,5,15,10,30,Zacatecas,3,8,3,14,Zacatecas,5,8,4,17
Mexicanos_que radican_en_el_extranjero,5,2,2,9,Mexicanos_que radican_en_el_extranjero,3,1,,4,Mexicanos_que radican_en_el_extranjero,7,0,0,7
Total,"1,364","1,729",577,"3,670",Total,"1,310","1,651",612,"3,573",Total,"1,334","1,635",541,"3,513"
