Entidad,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aguascalientes,"466,343","506,569","498,627","519,227","530,503","626,544","688,693","743,821","798,949"
Baja California,"2,741,180","2,837,575","3,102,041","3,117,250","3,640,601","3,382,895","3,640,204","3,696,125","3,752,046"
Baja California Sur,"1,622,679","1,742,295","1,875,947","1,887,852","1,740,469","1,939,845","2,152,136","2,583,584","2,815,072"
Campeche,"1,092,178","1,171,507","1,241,355","1,430,172","1,466,950","1,449,513","1,404,206","1,435,204","1,466,202"
Coahuila ,"1,126,343","1,210,719","1,442,043","1,604,490","1,624,076","1,677,604","1,870,052","1,728,163","1,799,107"
Colima,"1,001,455","987,647","1,043,999","927,207","939,655","1,012,672","1,162,138","1,225,505","1,288,872"
Chiapas,"3,234,444","3,466,521","3,615,889","3,361,336","3,542,911","4,163,125","4,086,871","4,196,088","4,305,359"
Chihuahua,"3,502,226","3,417,028","3,566,384","3,817,119","3,908,207","4,654,521","4,723,089","4,462,027","4,565,421"
Ciudad de Mexico,"10,140,654","10,195,654","10,245,214","10,380,617","11,019,773","11,601,702","11,451,339","11,812,074","12,172,809"
Durango,"619,824","571,946","586,575","536,751","590,814","653,716","737,596","774,227","792,542"
Guanajuato,"2,828,975","2,976,899","3,328,089","3,504,540","4,033,289","4,213,325","4,727,198","5,431,764","5,784,047"
Guerrero,"6,128,855","5,045,896","5,408,737","5,635,061","5,683,881","6,657,911","7,370,150","8,326,643","8,804,889"
Hidalgo,"1,063,757","1,795,890","1,798,323","2,092,989","2,608,530","2,378,974","2,315,990","2,417,968","2,468,957"
Jalisco,"5,802,264","6,144,571","6,603,530","7,029,792","7,235,525","7,826,499","8,279,115","8,757,479","8,996,661"
Mexico,"3,030,155","3,153,503","2,606,734","2,742,850","2,818,682","2,688,211","3,132,339","3,637,068","3,889,432"
Michoacan,"2,850,699","2,614,067","2,705,285","2,549,432","2,457,678","2,541,610","2,512,331","2,830,712","2,989,902"
Morelos,"1,299,323","1,255,671","1,304,322","1,302,052","1,201,835","1,545,325","1,606,797","1,657,859","1,683,390"
Nayarit,"1,892,559","1,935,260","1,564,374","2,097,504","2,214,103","2,492,696","2,626,755","2,908,645","3,049,590"
Nuevo leon,"1,687,135","1,621,573","1,744,074","1,908,023","2,091,330","2,312,124","2,640,515","3,002,352","3,183,270"
Oaxaca,"2,597,092","2,672,394","2,524,345","3,022,774","3,083,266","3,361,083","3,139,445","3,353,474","3,460,488"
Puebla,"2,294,254","2,480,977","2,854,943","3,436,313","3,508,823","3,735,518","4,237,702","5,398,433","5,688,615"
Queretaro,"1,252,577","1,361,402","1,513,352","1,741,291","1,685,640","1,952,866","2,177,298","2,390,694","2,444,043"
Quintana Roo,,,,,,,,,
San Luis Potosi,,,,,,,,,
Sinaloa,,,,,,,,,
Sonora,,,,,,,,,
Tabasco,,,,,,,,,
Tamaulipas,,,,,,,,,
Tlaxcala,,,,,,,,,
Veracruz,,,,,,,,,
Yucatan,,,,,,,,,
Zacatecas,,,,,,,,,
