Date,Open,High,Low,Close,Volume,Adj Close
01/12/2010,25.57,28.4,25.56,27.91,48111900,27.57
01/11/2010,26.88,28.87,24.93,25.26,68402700,24.95
01/10/2010,24.77,27.2,23.78,26.67,66458300,26.18
01/09/2010,23.67,28.4,25.56,27.91,48118900,27.57
01/08/2010,25.99,28.87,24.93,25.26,68402700,24.95
01/07/2010,23.09,27.2,23.78,26.67,66458300,26.18
01/06/2010,25.53,28.4,25.56,27.91,48118900,27.57
01/05/2010,30.67,28.87,24.93,25.26,68402700,24.95
01/04/2010,29.35,28.4,25.56,27.91,48111900,27.57
01/03/2010,28.77,28.87,24.93,25.26,68402700,24.95
01/02/2010,28.39,27.2,23.78,26.67,66458300,26.18
01/01/2010,30.62,28.4,25.56,27.91,48118900,27.57
