Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,107609.505,112220.95200000002,127208.15299999999,125485.72,134102.922,129059.412,122551.01099999997,140455.60499999998,158210.18299999996,172118.063,176048.32299999995,178167.821,186727.609,193642.49100000004,194601.10499999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,612.409,591.588,525.114,547.61,640.402,546.709,607.026,546.047,532.226,565.88,1009.658,1020.174,833.436,768.771,789.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,713.251,714.906,649.857,637.565,676.115,633.732,501.249,506.697,502.688,500.549,472.977,457.927,542.751,553.823,588.693
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,2050.038,2374.331,2461.831,2233.277,2337.344,2566.072,2582.215,2494.697,2568.893,2698.443,3751.217,3893.381,4169.025,4704.389,4617.96
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,187.534,191.693,217.158,242.679,228.21,175.256,181.331,194.861,177.185,176.307,167.568,136.498,135.208,116.755,90.576
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,12592.7,11779.843,14461.723,13717.119,14283.671,13954.976,12337.203,15261.698,16986.292,17238.765,16190.468,16333.849,14066.712,14567.105,15022.852
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,1780.135,1637.999,1719.236,1815.934,1967.38,1743.017,1641.786,1861.592,1775.507,1888.985,1878.566,1738.075,1505.133,1560.895,1610.162
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,1062.733,733.961,1001.269,995.66,1009.125,803.084,690.764,772.456,717.256,808.272,630.938,687.953,759.882,667.754,594.918
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,6954.267,6452.668,10532.03,12694.393,13036.211,12382.729,10722.232,10952.012,11778.946,14567.72,16371.439,15184.956,13610.05,16432.903,20370.493
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,121.846,120.317,109.016,125.591,123.045,104.31,110.028,95.373,112.093,121.634,102.602,117.614,109.62,125.877,127.562
