Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1176514.7310000001,1192534.74,1180443.336,1163383.5359999998,1122473.914,1062443.3220000002,1008837.2880000001,1002820.203,989616.5660000001,988537.172,977551.093,953588.4099999999,894928.7930000001,841169.9599999998,755454.534
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,943590.949,947235.727,911965.646,873712.271,813497.726,740354.978,656025.985,621235.295,594282.952,579489.636,584234.661,558984.634,511803.01,482959.861,429001.656
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,77.302,116.225,82.206,85.182,425.207,831.812,1831.288,1765.208,1327.686,962.489,867.321,597.205,326.803,274.594,267.689
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,18565.419,15536.898,13810.101,13179.781,12559.795,13195.99,15001.531,17395.383,17243.182,17043.493,17648.272,17027.377,13956.523,10561.073,7102.033
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,0.121,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,5661.718,5461.058,5739.606,5409.905,5394.698,5337.799,5914.579,6364.527,6278.904,5865.35,5668.26,5360.979,4929.692,3932.244,3267.052
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,833.825,2258.625,1875.413,2400.399,1634.674,2229.983,3025.665,3883.641,6256.278,8606.645,9581.697,6509.51,5811.726,5492.676,4621.417
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,148.539,163.044,137.826,120.345,88.24,58.996,164.113,257.383,246.87,250.58,165.081,92.006,90.924,101.945,131.807
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
