Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,618346.564,631000.0269999999,646177.3100000002,706271.753,714963.6169999999,692709.29,529151.3240000001,664703.7210000001,717692.646,780850.65,798294.4580000001,877775.4829999997,935117.9419999998,957860.2989999999,1027521.4270000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,12463.01,12961.026,13954.842999999999,16491.810999999998,20488.764,19034.977,15068.136,21544.565,23234.53,25551.684,27617.337,37723.837999999996,39938.749,40986.377,41977.08700000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,58811.59299999999,63354.401,62204.899000000005,68521.473,67231.149,62214.954,43565.556000000004,48683.865,46209.754,49717.698000000004,48287.421,54012.587,62563.448000000004,64155.16900000001,65777.49799999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,3.3529999999999998,2.273,3.01,3.4669999999999996,3.237,3.6510000000000002,2.359,2.741,2.8,2.854,3.685,3.924,4.561999999999999,4.262,3.9339999999999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,11.53,10.542,14.532000000000002,20.633000000000003,26.019000000000002,85.30599999999998,72.417,61.767999999999994,50.586999999999996,61.32000000000001,67.322,79.21499999999999,57.169999999999995,37.721,44.026
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,84643.90299999999,93645.036,88300.792,91624.49,88473.507,83830.80900000001,48809.471999999994,87885.48000000001,97189.245,107465.84400000001,105100.79800000001,118543.457,116991.831,110311.14499999999,118711.946
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,15.983,77.48,70.36099999999999,79.618,80.92,246.931,251.475,215.386,215.78199999999998,249.789,268.558,225.07299999999998,209.86,283.75899999999996,338.805
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,110.38199999999999,96.38300000000001,119.82,143.416,171.91,177.136,212.209,250.756,241.91500000000002,247.399,263.19599999999997,237.023,248.602,237.707,194.503
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,57334.38799999999,60958.52799999999,61303.047999999995,68806.51299999999,70372.049,69937.875,55444.731999999996,59471.899,61646.326,73568.06599999999,78471.832,81203.929,90175.711,99813.843,102157.2
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,21500.738,20566.356,20897.583000000002,22903.338000000003,22258.971999999998,20837.634000000002,16363.53,17822.715,15664.938999999998,15405.36,14783.732,16004.023000000001,16908.331,17248.854,15647.470000000001
