Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,1413845.8179999997,1465202.5859999997,1500089.1130000001,1563007.5450000002,1616218.429,1669961.1979999996,1685556.7490000003,1739384.1159999995,1790706.8759999995,1836802.8220000004,1853549.023,1887082.28,1933918.1660000002,1972342.888,2003323.427
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,12361.158,12998.652,13585.221,14185.607,14745.379,15322.199,15607.23,16150.184,16694.567,17189.432,17404.996,17774.466,18279.87,18887.81,19413.719
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,40702.652,42373.181,43641.936,46281.512,48754.358,51308.479,51933.754,53633.364,55239.938,56656.381,57208.88,58183.157,59686.863,60789.575,61474.671
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,5991.536,6314.466,6620.125,7159.522,7717.636,8303.151,8434.143,8746.19,9120.314,9461.805,9632.109,9902.231,10284.154,10529.662,10628.263
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,8996.613,9391.326,9704.941,10115.689,10468.534,10804.516,10859.569,11222.71,11601.756,11946.721,12073.266,12362.31,12695.217,12841.513,12934.143
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,35624.812,36975.509,38123.331,39477.685,40694.333,41924.746,42651.597,44103.845,45409.842,46567.232,46982.738,47796.288,48975.604,50214.19,51254.499
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,8273.725,8477.126,8668.518,9126.408,9592.042,10073.753,10308.744,10685.624,11050.856,11381.63,11521.634,11776.381,12104.948,12448.774,12740.895
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,29123.493,30065.679,30963.766,32401.711,33777.219,35243.045,36128.441,37463.127,38736.728,39938.993,40520.636,41449.845,42580.172,42910.779,43005.06
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,49482.554,50954.156,51994.846,53234.804,54344.742,55406.946,56192.835,57825.374,59561.477,61100.885,61771.804,62898.551,64470.068,65835.762,66665.494
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,216600.008,227420.97,229850.038,240153.793,245274.724,249893.618,242606.074,247675.951,252933.539,257618.693,258320.359,261658.123,266684.423,271801.034,278170.745
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,17958.416,18439.018,18884.944,19332.33,19737.181,20152.939,20641.006,21386.72,22070.254,22696.5,22967.614,23445.068,24040.142,24404.921,24710.607
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,49889.477,51692.348,53235.02,55996.342,58622.075,61358.405,62520.001,64693.531,66690.405,68492.451,69203.48,70491.635,72295.714,73763,74942.055
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,25131.57,25672.099,26161.43,27082.78,27946.713,28851.897,29534.212,30608.646,31413.36,32134.262,32325.051,32801.419,33451.446,33689.664,33813.545
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,24425.101,25502.48,26160.56,27613.403,28783.676,29999.951,30183.266,31138.384,32075.754,32965.884,33406.552,34123.294,34956.075,36059.381,37110.057
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,103439.752,107142.064,109775.225,114411.212,118391.663,122393.39,123772.619,127833.348,131797.55,135384.297,136796.805,139492.748,143101.692,147233.13,150756.853
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,205240.188,210567.916,215369.3,224027.973,232434.643,241114.113,246767.801,255597.855,263157.822,269897.52,272284.368,277097.34,283691.188,286584.236,288218.246
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,40581.022,41459.045,42178.641,43955.003,45620.399,47358.656,48411.226,50132.433,51494.686,52719.016,53112.102,53970.33,55095.026,55791.053,56274.649
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,18831.152,19242.174,19602.981,20402.59,21178.491,21987.451,22511.83,23313.71,24032.944,24679.258,24932.691,25391.711,26035.341,26425.887,26659.918
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,12080.011,12476.545,12777.389,13370.784,13912.231,14474.801,14700.339,15199.592,15699.806,16143.379,16316.873,16608.598,17109.195,17424.915,17599.536
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,77016.979,80753.997,82731.614,87126.469,90739.13,94258.241,93607.116,95888.969,99132.333,101993.107,103255.282,105232.557,108712.53,113645.176,117627.317
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,32236.437,32999.674,33732.093,35009.662,36243.684,37532.159,38487.41,39897.177,40982.233,41957.902,42264.316,42944.973,43824.188,44101.911,44163.736
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,59480.965,61462.784,63257.113,65471.299,67526.115,69591.915,70874.283,73359.028,75555.098,77507.189,78120.406,79574.472,81448.298,82473.751,83137.393
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,20122.405,21107.449,21891.405,23398.276,24827.521,26311.972,26556.8,27442.658,28478.311,29417.797,29877.616,30579.925,31639.166,32858.598,33815.728
