Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,4604522.23,4781935.700999999,4884760.028000001,5086479.816000001,5133607.878000001,5079733.560000001,4699986.664000001,4913184.2299999995,5053169.757,5196909.908000001,5185312.409,5319099.672,5384711.818,5406772.418,5389199.127000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,43925.787,46551.131,47602.807,53051.356,60930.738,58002.397,55708.956,60666.425,62344.234000000004,66713.27500000001,69596.84,82466.726,83779.01400000001,89258.557,90816.81300000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,171695.06799999997,185061.62399999998,185575.03799999997,200378.652,199964.956,194805.80899999998,158703.06,165601.27099999998,164846.857,169744.725,170405.104,176061.349,192449.05699999997,199834.52800000002,205932.63199999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,21687.383,23371.646999999997,23290.563000000002,24919.818,31602.2,34943.323,37856.568,33633.028000000006,34057.864,32288.743,30272.174,28586.672000000002,38441.064000000006,36437.364,46171.48
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,987337.433,995877.7059999999,972612.473,945550.348,878777.888,795328.554,711627.949,681558.8080000001,650719.5070000001,636346.7790000001,640980.9069999999,604204.189,554526.0869999999,519888.126,457797.267
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,241604.351,245449.524,246635.07899999997,260161.326,272421.484,267058.753,199970.038,252720.21999999997,274893.522,291311.57300000003,276370.022,300529.004,298772.848,300389.66599999997,319210.684
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,19339.097999999998,18046.507999999998,16966.626,18476.503,20895.005,20810.208,20611.687,21972.852,24938.551,25347.492,25359.659,24745.036000000004,25234.073,25410.872,24988.459
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,81794.783,68697.106,67797.58799999999,73137.71,69330.66900000001,74678.64600000001,75768.90800000001,84566.69099999999,85043.29800000001,85582.327,76769.782,82563.072,76192.46399999999,69757.493,59683.114
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,139939.229,148417.15399999998,153423.30399999997,167674.674,173214.597,172747.00199999998,151840.34,154263.031,155271.109,176407.669,186862.407,191753.94300000003,204152.91199999998,220603.544,224941.58299999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,287794.358,297595.98699999996,299594.705,329315.62999999995,319063.92299999995,306961.04600000003,297600.008,283406.68700000003,297198.11199999996,306702.268,290198.067,300559.31899999996,281297.945,293383.33900000004,294790.52499999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,50110.117,50705.738000000005,47611.223000000005,48037.634,48728.858,49537.434,49546.625,50604.066999999995,55425.117999999995,56363.727,59411.166999999994,61155.432,59623.325,60609.003000000004,60312.628000000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,149363.013,153284.38400000002,153069.946,164007.543,163302.611,166996.143,157349.272,169926.76400000002,182392.25899999996,191930.408,206339.715,227391.484,248530.73899999997,258440.65200000003,267767.78900000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,28001.112,30731.83,31416.523999999998,33701.241,37045.70999999999,39942.722,36614.763,38657.264,38047.191,39336.80299999999,41978.604,45549.295,42498.340000000004,43738.76699999999,41654.76
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,65078.82199999999,74253.75700000001,71022.17599999999,70076.389,74125.08699999998,75881.564,69870.736,70683.702,72819.796,74831.688,75661.767,80442.28700000001,86998.964,89760.641,85645.484
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,256279.69100000002,257616.37299999996,270439.66500000004,289305.50800000003,297560.38500000007,287315.60500000004,264119.718,283245.139,289495.552,301333.246,310653.507,333448.433,355037.6,363322.99199999997,372797.9050000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,333112.582,337044.492,340528.528,348648.686,351911.728,348496.19299999997,322571.924,357699.01099999994,371542.84500000003,377182.26200000005,382416.135,374492.935,377256.2580000001,377118.905,403765.96300000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,62920.68499999999,67431.77399999999,67491.648,69989.45100000002,73824.211,73008.125,60790.66,66485.293,66962.787,67719.208,68417.837,74346.664,72905.879,71802.011,70224.50099999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,53199.83900000001,52038.303,60804.926999999996,54497.191,55524.170000000006,56967.155999999995,60724.166,62962.832,58397.593,54868.363000000005,55777.99299999999,57828.086,55211.614,56813.937000000005,63220.460999999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,12816.746000000003,20621.012000000002,22020.459,21054.208,20576.559,22933.924000000003,20239.989,20077.607,20061.298,20655.25,21059.553999999996,24649.636,24377.795000000002,24857.140000000003,22999.363000000005
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,303749.7040000001,322967.946,342797.19200000004,368939.253,392755.054,391188.157,361886.21,392824.53,401705.24900000007,410827.73199999996,407371.037,420454.79000000004,452197.973,441980.096,447488.655
