Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,7509114.891999998,7812780.831999999,8023613.163000002,8377968.037999998,8634174.109,8836558.096,8472404.203,8951187.402999999,9352965.275999997,9734567.062,9946401.736000001,10211308.646,10645369.358,11057435.257000001,11396462.037999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,72009.55,74816.343,76438.07500000001,79307.629,83333.172,86381.545,81328.94799999999,85021.85899999998,89681.609,93741.397,95952.793,100790.016,106388.411,118804.37299999998,124887.66999999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,216751.928,225355.74099999998,234497.62300000002,243139.724,249761.82700000005,251116.69900000002,235825.28199999998,249237.964,262669.64700000006,273059.90300000005,280937.80199999997,283213.03699999995,298628.265,314344.286,323737.9979999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,50911.617000000006,54964.74199999999,60419.797000000006,65320.854999999996,71244.065,70766.80799999999,67399.4,73218.196,76989.76900000001,81161.184,80983.172,81622.25899999999,86716.598,92484.20800000001,98271.20099999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,57163.70899999999,60183.17799999999,62625.79699999999,64870.14600000001,65862.68500000001,68581.09900000002,65585.823,68170.75200000001,71980.916,74425.47899999999,76072.77799999999,78499.56999999999,79308.06599999999,75998.64499999999,75240.023
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,183688,191642.903,198737.51499999998,207867.22699999998,215162.71899999998,218850.68099999995,207872.07499999998,223594.36000000002,235159.601,244957.138,248576.123,250895.03000000003,261396.58400000006,270230.362,280463.371
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,43926.00899999999,45142.767,46832.83,49390.59500000001,51764.966,53082.331,51672.89199999999,55508.35099999999,58210.641,60911.664000000004,61662.77999999999,64485.376,65749.06699999998,71181.435,75846.567
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,144387.97299999997,149061.102,153741.82499999998,155556.63,162896.576,163650.034,160902.758,165665.246,173594.32499999998,178575.03100000002,183383.42299999998,192751.711,194561.88200000004,200700.544,202908.43300000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,199122.708,205981.537,213381.81799999997,227212.104,235072.52199999997,243496.83899999998,223917.875,236301.60499999998,246718.06000000006,256983.607,260299.21999999997,264063.671,278317.649,289749.09300000005,298315.37499999994
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1843621.063,1927989.511,1956996.2980000002,2044095.6649999998,2088208.4579999999,2142211.214,2063603.9629999998,2162207.77,2235240.891,2325889.8979999996,2381672.4390000002,2428084.43,2554054.38,2666482.3369999994,2748888.3170000007
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,85320.673,88903.42299999998,91555.90700000002,94485.87100000001,96529.78899999999,98654.912,95482.39,101235.81399999998,104788.40200000002,108426.01599999999,110830.15999999996,113053.04500000001,116505.87000000001,121717.78999999998,119472.15499999998
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,267223.13,274369.9710000001,280677.426,293331.41,303434.94899999996,313522.625,301677.125,325179.979,343566.684,357114.915,364728.3699999999,369839.559,389605.473,407312.469,430232.886
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,143730.22999999998,151370.588,152986.09500000003,154350.651,156257.38,156328.657,153015.512,160852.75300000003,164149.904,166954.27199999997,165911.12099999998,171289.27199999997,178075.87600000002,180562.253,182240.692
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,104441.63999999998,107270.06800000001,109123.11899999998,114377.97,116862.565,122019.18800000002,115612.97200000002,125315.809,132708.14,137558.137,144609.86600000004,148889.388,156037.75400000002,163841.313,169015.63399999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,493410.708,512890.712,524995.3809999999,546625.4979999999,562504.912,578115.373,555360.3129999998,586324.6610000001,610948.941,636438.2919999999,650448.2470000002,667606.5269999999,690327.0599999999,735080.8199999998,751816.968
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|México<C1>,695778.1490000001,716454.5089999998,741031.7360000001,782660.1980000001,810448.9079999999,829063.222,798576.5129999999,849988.751,895664.115,943191.836,962834.0500000002,1010190.725,1039874.827,1082104.32,1123715.7149999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,198744.07400000005,202680.966,208351.49899999998,215989.41799999998,218394.76799999998,222950.59,220248.11800000005,229358.19900000002,238204.815,246500.488,251509.71899999998,264974.50499999995,275932.4919999999,286517.21099999995,297480.72000000003
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Morelos<C1>,99742.942,102460.88799999999,104776.99600000001,107955.88999999998,107817.37999999999,107475.92100000002,102009.59700000001,106198.74399999999,110930.50699999998,115626.195,120292.094,120628.95000000001,125876.25500000003,129664.24299999999,132777.965
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nayarit<C1>,56953.884,59009.16099999999,61137.755999999994,64039.817,63409.168,67098.98000000001,65424.50400000001,70114.76499999998,72159.414,71795.477,74702.831,77434.824,83325.60299999999,86669.002,90338.65299999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Nuevo León<C1>,492409.238,519489.09199999995,535785.505,571085.553,604354.3090000001,622289.9419999999,583628.5819999999,624634.449,661317.3630000001,696085.317,710781.2310000001,734761.2100000001,760735.259,790835.7039999999,822548.508
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Oaxaca<C1>,136310.897,142493.521,148075.32600000003,150847.113,152662.56100000002,155261.69299999997,150205.88,155252.415,159313.50699999998,161978.23600000003,162932.33000000002,165623.56800000003,173820.23700000002,174911.445,176613.904
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Puebla<C1>,248836.964,257020.73299999995,261622.059,271945.716,281166.376,283979.70000000007,272370.08100000006,290320.18400000007,304072.8439999999,315729.43499999994,324318.6609999999,328556.29300000006,337113.3829999999,346402.90799999994,356712.281
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Querétaro<C1>,122835.91499999998,131454.131,140760.977,151697.02800000002,161216.39800000002,169221.71300000002,164576.42299999998,172610.52799999996,185430.58499999996,189792.27699999997,192482.33700000006,202416.62499999997,216860.37500000003,224655.09900000005,228796.05300000004
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Quintana Roo<C1>,124621.69200000001,134883.07200000001,136709.846,144544.666,163452.568,172342.484,157560.953,170027.715,179983.255,190226.88399999996,197815.693,203616.52300000002,216864.76,228188.23100000003,242849.249
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,138343.544,144914.32200000001,149617.57299999997,156552.696,161648.718,163650.975,155225.88700000002,163253.845,171010.55499999993,175291.92199999996,179189.54199999996,182839.74,191879.99100000004,199334.46699999992,205343.53499999997
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sinaloa<C1>,184390.932,188220.658,194207.02300000002,198092.61299999998,199198.66299999997,203260.04200000002,194841.69699999996,206327.54700000002,215622.628,224846.316,229060.94700000004,234759.34300000005,246225.96800000002,259469.819,266454.76599999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Sonora<C1>,187003.384,194164.791,200180.338,205875.526,209745.027,214921.31900000002,208424.201,223402.069,235491.99500000002,245955.29799999998,251809.35499999998,258459.167,261237.535,269932.453,275910.694
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tabasco<C1>,120553.055,125114.94699999999,130816.336,136694.628,139917.087,144228.562,138456.259,144408.78,151956.52,159370.61800000002,164763.86899999995,166842.374,172345.05799999996,169866.356,168923.221
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tamaulipas<C1>,216979.33,223669.847,231148.391,238381.059,244437.90699999998,246818.09699999998,233427.27800000002,245444.492,258050.17099999994,267017.73,273873.16,276264.60399999993,287993.95399999997,291619.002,298772.91199999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Tlaxcala<C1>,43430.521,44494.804000000004,45216.30100000001,48164.469000000005,48619.748999999996,50729.545000000006,49359.815,51074.661000000015,53233.006,54426.38399999999,56090.10800000001,56926.17999999999,59029.488,60104.72900000001,61339.302
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,362805.677,376075.70200000005,383949.843,399951.10899999994,410356.31799999997,413231.4089999999,401594.40599999996,423656.4390000001,439012.11799999996,455808.24900000007,456008.29400000005,474443.638,493349.8889999999,494503.404,505375.22199999995
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Yucatán<C1>,113260.47299999998,118423.48099999999,123281.73500000002,127040.91100000001,129961.06999999998,133675.03399999999,128724.21099999998,134708.522,139940.239,147128.394,152587.11599999998,155269.86400000003,163308.58899999998,168371.494,172483.20500000002
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Zacatecas<C1>,60405.283,61813.62099999999,63934.416999999994,66517.65299999999,68470.549,69580.86300000001,68492.47,72570.179,75164.10900000001,77599.073,79282.10500000001,82217.62199999999,83922.76000000001,85795.442,88688.84300000001
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,0.958961888794,0.957614767505,0.952664011177,0.946621288602,0.965155102827,0.977547412257,0.959927619733,0.949838889213,0.958857499772,0.962974484668,0.964698546739,0.987043086191,0.999386751386,1.074429741063,1.095845970298
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California<C1>,2.886517667094,2.884449798937,2.922593826948,2.902132389348,2.892712422137,2.841793108492,2.783451737542,2.784412310667,2.808410373061,2.80505441342,2.824516940465,2.773523422103,2.805240992184,2.842831802257,2.84068860073
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,0.677997576708,0.703523408399,0.753024800331,0.779674196699,0.825140472043,0.800841314358,0.795516814178,0.817971881311,0.823158931185,0.833742101555,0.814195667433,0.799332013453,0.814594544198,0.836398367709,0.862295690297
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Campeche<C1>,0.761257615873,0.770316988203,0.780518648242,0.774294503223,0.762813954972,0.776106468774,0.774111119212,0.761583340073,0.769605294961,0.764548423427,0.764827120592,0.768751319947,0.745000603858,0.687308071299,0.660205094784
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,2.446200419649,2.452940983767,2.476907983506,2.481117450642,2.491989578664,2.476650734623,2.453519331932,2.497929603452,2.514278563649,2.516363968113,2.499156273774,2.457031108332,2.455495673371,2.443879215381,2.460968764383
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Colima<C1>,0.584969195861,0.577806647476,0.583687536383,0.589529522863,0.599535813692,0.600712748372,0.609896444526,0.620122766968,0.622376318977,0.625725454579,0.619950627741,0.631509419953,0.61763067855,0.643742724652,0.665527307923
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chiapas<C1>,1.922836114198,1.907913522794,1.916117114282,1.856734584024,1.886649191267,1.851965801867,1.899139301487,1.850762793152,1.856035170423,1.834442455043,1.843716228918,1.887629859034,1.827666804758,1.815073200387,1.780451093712
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Chihuahua<C1>,2.651746722002,2.636468901781,2.659423051251,2.712019226732,2.722582600633,2.755562022619,2.642908313094,2.639891160371,2.637859253397,2.639907921567,2.617018967351,2.585992453606,2.614448025618,2.620400538331,2.617613905134
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,24.551775935192,24.677378675506,24.390461731436,24.398465782259,24.185387410978,24.242597521876,24.356769501971,24.155541300312,23.898740399857,23.893100568174,23.945065785748,23.778386435818,23.992163109687,24.114835628922,24.120541162987
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Durango<C1>,1.136228093818,1.137922910059,1.141080771718,1.127789824113,1.11799678558,1.116440484272,1.126981051803,1.130976365952,1.12037625403,1.113824737242,1.114273914745,1.10713571511,1.094427690406,1.100777776862,1.048326705267
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guanajuato<C1>,3.558650171736,3.511809391558,3.498142548725,3.501223789224,3.51434827662,3.548017470082,3.560702697508,3.632813886692,3.673345017987,3.668523856536,3.666937850297,3.621862503832,3.659858666221,3.683607089105,3.775144290969
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Guerrero<C1>,1.914076852828,1.937473881003,1.90669829031,1.842339936127,1.809754795622,1.769112535692,1.806045938481,1.796999054518,1.755057344447,1.715066226743,1.668051677417,1.677446818407,1.672801290508,1.632948769794,1.5990988378
