Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016<R>,2017<P>
Valores constantes|Millones de pesos|B.1bP---Producto interno bruto<C1>,13061718.521,13573815.057,13887072.52,14511307.247,14843825.975,15013577.681,14219998.379,14947794.696,15495333.601,16059723.651,16277187.078,16733654.767,17283855.93,17788823.686,18157001.671
"Valores constantes|Millones de pesos|D.21-D.31---Impuestos sobre los productos, netos",502613.351,523127.863,539350.648,579923.499,589361.736,610821.055,571451.401,595394.031,619537.009,628731.148,634567.233,673025.177,712586.01,764368.166,793341.842
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,12559105.155999998,13050687.196999999,13347721.874000004,13931383.746000003,14254464.21,14402756.617,13648546.979,14352400.662999999,14875796.602999998,15430992.520999998,15642619.842000002,16060629.582000002,16571269.907999998,17024455.525999997,17363659.817999996
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,121197.63399999999,126554.147,129628.02800000002,138111.823,150305.117,150949.983,143253.947,152205.212,158934.494,167705.967,172820.491,191038.59100000001,198175.39500000002,216329.06199999998,224375.777
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,399514.62399999995,423005.49899999995,433008.16599999997,456019.296,461581.2740000001,457556.565,407745.948,428162.546,440700.662,456024.47200000007,465524.69499999995,473362.34799999994,505937.657,528019.895,544644.7179999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,76047.59300000001,81546.00899999999,87397.67000000001,93655.622,106199.426,108975.35599999999,108338.81099999999,110656.4,114707.76200000002,117345.83299999998,115027.644,114871.33499999999,130096.58,134229.43300000002,149572.636
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,1047511.322,1059561.025,1038533.775,1014280.3500000001,947575.4930000001,867231.044,780757.429,753968.591,726503.856,714787.0650000002,721085.0629999998,687268.5819999999,638740.803,601213.978,538379.6900000001
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,436573.518,449143.882,458867.90699999995,480488.194,500478.657,498326.775,421327.48899999994,489951.77599999995,523207.11199999996,549551.802,538206.987,565824.8250000001,573850.0680000001,583337.1699999999,612676.3019999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,67732.93,67794.051,68258.171,72533.785,77526.37,78953.717,76446.9,81992.17799999999,87944.96900000001,90540.289,91422.446,93707.678,95357.74499999998,101187.003,105770.99799999999
Valores constantes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,248123.22699999996,238375.89,240279.55899999998,248414.30200000003,252536.304,258289.89,256698.36200000002,270989.331,279446.584,284733.625,280925.273,295158.113,290463.61400000006,290720.226,281832.641
